Transaction_ID,Date,Entity_ID,Item_ID,Customer_ID,Employee_ID,Channel_ID,Units_Sold,Revenue
100000,2023-01-01,136,2039,10674,545,2,17,3443.84
100001,2023-01-01,127,2032,10857,509,2,14,10917.79
100002,2023-01-01,124,2023,10425,505,2,1,1371.64
100003,2023-01-01,140,2027,10415,504,3,44,80466.06
100004,2023-01-01,129,2013,10167,532,1,1,1650.32
100005,2023-01-01,122,2026,10590,505,2,40,61136.74
100006,2023-01-01,108,2007,10485,544,3,13,5821.47
100007,2023-01-01,115,2018,10436,508,1,52,82776.41
100008,2023-01-01,105,2016,10687,513,1,3,1197.45
100009,2023-01-01,104,2027,10532,504,1,45,78407.46
100010,2023-01-01,111,2026,10608,511,2,42,63757.33
100011,2023-01-01,118,2027,10481,515,3,15,26083.73
100012,2023-01-01,130,2026,10180,546,1,42,65462.34
100013,2023-01-02,115,2007,10607,518,1,12,5733.03
100014,2023-01-02,106,2027,10071,520,1,12,21273.65
100015,2023-01-02,116,2032,10702,501,3,6,4291.25
100016,2023-01-03,140,2036,10901,501,3,5,2237.48
100017,2023-01-03,109,2026,10441,511,2,40,63125.77
100018,2023-01-03,134,2027,10644,529,2,13,23273.37
100019,2023-01-03,127,2027,10139,529,3,14,26281.63
100020,2023-01-03,113,2011,10787,524,2,6,1926.29
100021,2023-01-03,136,2011,10102,520,3,3,988.46
100022,2023-01-03,127,2005,10468,530,2,8,11049.32
100023,2023-01-03,109,2018,10283,538,2,46,74171.72
100024,2023-01-04,105,2025,10029,505,3,5,1991.01
100025,2023-01-04,122,2040,10018,545,1,3,812.47
100026,2023-01-04,131,2020,10933,510,1,3,2718.47
100027,2023-01-04,103,2027,10957,506,2,34,59010.56
100028,2023-01-05,130,2027,10756,504,1,52,96115.05
100029,2023-01-05,121,2015,10687,504,1,7,967.85
100030,2023-01-05,135,2005,10508,507,2,3,4460.14
100031,2023-01-05,106,2026,10601,548,1,27,42883.13
100032,2023-01-05,128,2027,10020,533,3,17,29511.71
100033,2023-01-05,132,2040,10326,509,3,2,557.81
100034,2023-01-06,137,2018,10356,526,1,24,37163.52
100035,2023-01-06,125,2036,10433,547,3,11,4954.76
100036,2023-01-06,132,2018,10399,541,3,38,64718.14
100037,2023-01-06,135,2027,10018,521,1,51,93120.37
100038,2023-01-06,122,2026,10550,522,3,45,73240.91
100039,2023-01-06,124,2005,10376,533,2,2,2801.31
100040,2023-01-06,139,2007,10601,533,2,8,3683.64
100041,2023-01-06,130,2002,10340,548,2,5,6039.12
100042,2023-01-07,132,2018,10150,505,1,50,78145.8
100043,2023-01-07,131,2027,10716,521,3,52,96053.46
100044,2023-01-07,123,2011,10233,527,1,6,1931.05
100045,2023-01-07,140,2026,10104,541,1,49,76415.78
100046,2023-01-07,133,2018,10956,501,3,25,41334.83
100047,2023-01-07,125,2028,10623,516,3,4,7144.93
100048,2023-01-08,136,2029,10737,535,3,1,445.4
100049,2023-01-08,124,2027,10221,536,1,15,26549.06
100050,2023-01-08,131,2026,10962,544,1,56,83741.39
100051,2023-01-08,139,2018,10026,532,2,23,36239.88
100052,2023-01-08,113,2031,10064,529,1,1,564.69
100053,2023-01-08,110,2013,10254,539,3,2,3060.17
100054,2023-01-08,123,2018,10249,547,1,46,72867.95
100055,2023-01-08,118,2013,10736,523,2,1,1659.39
100056,2023-01-08,132,2027,10826,515,3,12,21609.22
100057,2023-01-08,133,2027,10131,526,2,15,27186.97
100058,2023-01-09,136,2026,10030,537,1,42,63372.4
100059,2023-01-09,128,2019,10787,525,1,2,458.11
100060,2023-01-09,116,2007,10010,502,2,6,2731.2
100061,2023-01-09,116,2036,10089,512,2,17,7629.45
100062,2023-01-09,118,2026,10430,519,3,44,69087.74
100063,2023-01-09,108,2018,10147,532,3,20,30929.07
100064,2023-01-09,116,2026,10127,523,2,20,32121.54
100065,2023-01-09,111,2013,10698,505,3,3,4555.18
100066,2023-01-10,106,2009,10124,525,2,2,2133.21
100067,2023-01-10,101,2018,10619,535,2,45,76824.65
100068,2023-01-10,112,2016,10341,529,1,3,1102.61
100069,2023-01-10,138,2018,10518,538,2,46,77152.27
100070,2023-01-10,128,2036,10051,545,3,18,8101.36
100071,2023-01-10,117,2026,10398,520,2,21,32600.84
100072,2023-01-10,101,2026,10314,547,1,45,73674.82
100073,2023-01-10,132,2027,10648,536,3,12,21114.59
100074,2023-01-11,108,2039,10514,507,2,4,761.7
100075,2023-01-11,140,2007,10502,522,1,13,5822.32
100076,2023-01-11,124,2032,10530,518,3,12,8823.56
100077,2023-01-11,110,2026,10761,521,1,79,120808.4
100078,2023-01-11,139,2010,10982,522,1,3,1870.34
100079,2023-01-11,139,2018,10697,539,3,26,40334.4
